source_project,Stage,Created Date,Primary Source,Apartment Sub Type,Apartment,Postal Code,City,First Time Buyer,1st Applicant Age,1st Applicant Gender,Industry,Occupation-1st Applicant,1st Appicant Annual Income,Annual Household Income in Lakhs
Atmosphere,5.Booking Confirmed,12/9/2020,Digital Marketing,3BHK Grand,Atmosphere/T1/1202,834001,Ranchi,First Home,,Male,Others,SALARIED,,
Atmosphere,5.Booking Confirmed,26/11/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/1203,226016,Lucknow,First Home,,,IT/ITES,Salaried,,
Atmosphere,5.Booking Confirmed,20/6/2023,Digital Marketing,3BHK Grand,Atmosphere/T1/1204,560079,Bangalore,First Home,,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,22/7/2022,Channel Partner,4BHK,Atmosphere/T1/1205,,,,38,,,Salaried,,
Atmosphere,5.Booking Confirmed,5/12/2020,Repeat Marketing,3BHK LUXE,Atmosphere/T1/1206,,,,,,,,,
Atmosphere,5.Booking Confirmed,11/10/2021,Digital Marketing,3BHK Grand,Atmosphere/T1/1207,,,,50,,,SALARIED,,
Atmosphere,5.Booking Confirmed,8/2/2025,Channel Partner,3BHK Grand,Atmosphere/T1/1208,560024,Bangalore,First Home,52,Male,Healthcare,Professional,18-36 Lakhs,
Atmosphere,5.Booking Confirmed,23/5/2021,Channel Partner,3BHK Grand,Atmosphere/T1/1301,,,,,,,Financial Services,,
Atmosphere,5.Booking Confirmed,8/7/2023,Digital Marketing,3BHK Grand,Atmosphere/T1/1302,560064,Bangalore,First Home,,,IT/ITES,Salaried,,
Atmosphere,5.Booking Confirmed,27/7/2023,Digital Marketing,3BHK Grand,Atmosphere/T1/1303,560043,Bangalore,First Home,38,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,1/7/2023,Digital Marketing,3BHK Grand,Atmosphere/T1/1304,560077,Bangalore,First Home,,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,21/12/2021,Channel Partner,4BHK,Atmosphere/T1/1305,,,,,,,Nokia,,
Atmosphere,5.Booking Confirmed,2/11/2020,Digital Marketing,3BHK Grand,Atmosphere/T1/1306,,,,52,,,,,
Atmosphere,5.Booking Confirmed,4/10/2025,Direct WalkIn / Site Branding,3BHK Grand,Atmosphere/T1/1307,560093,Bangalore,Not First Home,52,Male,Others,Salaried,,
Atmosphere,5.Booking Confirmed,16/1/2021,Channel Partner,3BHK Grand,Atmosphere/T1/1501,,,,34,,,,,
Atmosphere,5.Booking Confirmed,14/4/2021,Digital Marketing,3BHK Grand,Atmosphere/T1/1502,,,,52,,,SALARIED,,
Atmosphere,5.Booking Confirmed,24/11/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/1503,689111,Kerala,First Home,,,Healthcare,Salaried,,
Atmosphere,5.Booking Confirmed,10/4/2023,Digital Marketing,3BHK Grand,Atmosphere/T1/1504,560045,Bangalore,First Home,34 Years,,Others,Business,,
Atmosphere,5.Booking Confirmed,29/4/2021,Digital Marketing,4BHK,Atmosphere/T1/1505,,,,,,,DOCTOR,,
Atmosphere,5.Booking Confirmed,6/6/2020,Digital Marketing,3BHK Grand,Atmosphere/T1/1506,560094,Bangalore,,,,,,,
Atmosphere,5.Booking Confirmed,28/7/2020,Channel Partner,3BHK Grand,Atmosphere/T1/1507,,,,,,,Home Maker,,
Atmosphere,5.Booking Confirmed,2/7/2025,Channel Partner,3BHK Grand,Atmosphere/T1/1508,781024,Guwahati,First Home,46,Male,Others,Business,>3Cr,
Atmosphere,5.Booking Confirmed,4/4/2021,Channel Partner,3BHK LUXE,Atmosphere/T1/1601,,,,,,,TATA Communication,,
Atmosphere,5.Booking Confirmed,30/6/2025,Channel Partner,3BHK Grand,Atmosphere/T1/1602,581359,Uttara Kannada,First Home,52,Male,Others,Salaried,>75 Lakhs,
Atmosphere,5.Booking Confirmed,22/10/2022,Channel Partner,3BHK Grand,Atmosphere/T1/1603,440036,Nagpur,,,,,,,
Atmosphere,5.Booking Confirmed,24/7/2023,Purva Privilege,3BHK Grand,Atmosphere/T1/1604,560077,Bangalore,First Home,36,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,1/1/2021,Digital Marketing,4BHK,Atmosphere/T1/1605,,,,37,,,SALARIED,,
Atmosphere,5.Booking Confirmed,28/11/2020,Direct WalkIn / Site Branding,3BHK LUXE,Atmosphere/T1/1606,,,,,,,Amazon,,
Atmosphere,5.Booking Confirmed,5/12/2022,Channel Partner,3BHK Grand,Atmosphere/T1/1607,500034,Hyderabad,First Home,,,,,,
Atmosphere,5.Booking Confirmed,16/8/2025,Direct WalkIn / Site Branding,3BHK Grand,Atmosphere/T1/1608,274401,Kushinagar,First Home,39,Male,IT/ITES,Salaried,,
Atmosphere,5.Booking Confirmed,27/3/2021,Channel Partner,3BHK Grand,Atmosphere/T1/1701,,,,37,,,,,
Atmosphere,5.Booking Confirmed,4/10/2021,Corporate Activity,3BHK Grand,Atmosphere/T1/1702,,,,51,,,SALARIED,,
Atmosphere,5.Booking Confirmed,17/12/2022,Channel Partner,3BHK Grand,Atmosphere/T1/1703,560097,Bangalore,First Home,35 Years,,IT/ITES,Salaried,,
Atmosphere,5.Booking Confirmed,16/6/2023,Channel Partner,3BHK Grand,Atmosphere/T1/1704,560068,Bangalore,First Home,,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,20/6/2021,Channel Partner,4BHK,Atmosphere/T1/1705,,,,,,,,,
Atmosphere,5.Booking Confirmed,3/8/2020,Purva Privilege,3BHK Grand,Atmosphere/T1/1706,,,,,,,IT Software,,
Atmosphere,5.Booking Confirmed,18/10/2021,Channel Partner,3BHK Grand,Atmosphere/T1/1707,,,,,,,Teacher,,
Atmosphere,5.Booking Confirmed,24/8/2025,Channel Partner,3BHK Grand,Atmosphere/T1/1708,560103,Bengaluru,First Home,26,Female,Hospitality,Salaried,,
Atmosphere,5.Booking Confirmed,6/6/2020,Channel Partner,3BHK LUXE,Atmosphere/T1/1801,,,,34,,,SALARIED,,
Atmosphere,5.Booking Confirmed,3/1/2022,Channel Partner,3BHK Grand,Atmosphere/T1/1802,,,,35,,,SALARIED,,
Atmosphere,5.Booking Confirmed,27/8/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/1803,,,,31 Years,,,Salaried,,
Atmosphere,5.Booking Confirmed,3/12/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/1804,180002,Jammu,First Home,,,Banking,Salaried,,
Atmosphere,5.Booking Confirmed,6/6/2020,Channel Partner,4BHK,Atmosphere/T1/1805,560037,Bangalore,,,,,SALARIED,,
Atmosphere,5.Booking Confirmed,30/8/2020,Channel Partner,3BHK LUXE,Atmosphere/T1/1806,,,,,,,HOUSEWIFE,,
Atmosphere,5.Booking Confirmed,16/9/2021,Channel Partner,3BHK Grand,Atmosphere/T1/1807,560008,Bangalore,,59,,,SALARIED,,
Atmosphere,5.Booking Confirmed,19/5/2025,Channel Partner,3BHK Grand,Atmosphere/T1/1808,560024,Bengaluru,First Home,43,Male,Others,Salaried,1Cr-1.5Cr,1.5Cr-2Cr
Atmosphere,5.Booking Confirmed,22/8/2021,Digital Marketing,3BHK Grand,Atmosphere/T1/1901,,,,40,,,,,
Atmosphere,5.Booking Confirmed,3/1/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/1902,,,,44,,,IT,,
Atmosphere,5.Booking Confirmed,19/11/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/1903,462042,Bhopal,First Home,26,,IT/ITES,Salaried,,
Atmosphere,5.Booking Confirmed,24/6/2023,Channel Partner,3BHK Grand,Atmosphere/T1/1904,751020,Odisha,First Home,,,IT/ITES,Salaried,,
Atmosphere,5.Booking Confirmed,20/9/2021,Channel Partner,4BHK,Atmosphere/T1/1905,,,,36,,,HOUSE WIFE,,
Atmosphere,5.Booking Confirmed,6/6/2020,Print Media,3BHK Grand,Atmosphere/T1/1906,,,,,,,SALARIED,,
Atmosphere,5.Booking Confirmed,28/8/2024,Digital Marketing,3BHK Grand,Atmosphere/T1/1907,560035,Bangalore,First Home,,Male,IT/ITES,Salaried,36-75 Lakhs,
Atmosphere,5.Booking Confirmed,5/11/2025,Purva Champion,3BHK Grand,Atmosphere/T1/1908,560001,Bengaluru,First Home,38,Female,Others,Salaried,,
Atmosphere,5.Booking Confirmed,28/11/2020,Digital Marketing,3BHK Grand,Atmosphere/T1/2101,,,,,,,,,
Atmosphere,5.Booking Confirmed,11/1/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/2102,,,,34,,,SALARIED,,
Atmosphere,5.Booking Confirmed,13/10/2022,Channel Partner,3BHK Grand,Atmosphere/T1/2103,500011,Secunderabad,First Home,,,IT/ITES,Salaried,,
Atmosphere,5.Booking Confirmed,22/2/2023,Digital Marketing,3BHK Grand,Atmosphere/T1/2104,560008,Bangalore,First Home,,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,11/9/2021,Purva Champion,4BHK,Atmosphere/T1/2105,,,,,,,Puravankara Limited,,
Atmosphere,5.Booking Confirmed,20/3/2021,Channel Partner,3BHK Grand,Atmosphere/T1/2106,,,,46,,,,,
Atmosphere,5.Booking Confirmed,1/10/2024,Channel Partner,3BHK Grand,Atmosphere/T1/2107,560033,Bangalore,First Home,58,Male,Others,Salaried,>75 Lakhs,
Atmosphere,5.Booking Confirmed,27/11/2025,Channel Partner,3BHK Grand,Atmosphere/T1/2108,262522,Kuntola,First Home,41,Male,Engineering,SALARIED,,
Atmosphere,5.Booking Confirmed,6/6/2020,Channel Partner,3BHK LUXE,Atmosphere/T1/2201,,,,26,,,DOCTOR,,
Atmosphere,5.Booking Confirmed,2/12/2021,Channel Partner,3BHK Grand,Atmosphere/T1/2202,,,,31,,,,,
Atmosphere,5.Booking Confirmed,1/9/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/2203,,,,40,,,,,
Atmosphere,5.Booking Confirmed,21/2/2024,Channel Partner,3BHK Grand,Atmosphere/T1/2204,827006,Bokaro,First Home,46,Male,Financial Services,Salaried,,
Atmosphere,5.Booking Confirmed,6/6/2020,Digital Marketing,4BHK,Atmosphere/T1/2205,,,,,,,IT,,
Atmosphere,5.Booking Confirmed,1/9/2025,Channel Partner,3BHK LUXE,Atmosphere/T1/2206,560075,Bangalore,First Home,42,Male,Real Estate,Salaried,,
Atmosphere,5.Booking Confirmed,7/10/2025,Channel Partner,3BHK Grand,Atmosphere/T1/2207,560047,Bangalore,First Home,62,Female,Others,Salaried,,
Atmosphere,5.Booking Confirmed,5/2/2021,Channel Partner,3BHK Grand,Atmosphere/T1/2301,,,,36,,,,,
Atmosphere,5.Booking Confirmed,20/9/2021,Digital Marketing,3BHK Grand,Atmosphere/T1/2302,,,,37,,,,,
Atmosphere,5.Booking Confirmed,5/1/2024,Channel Partner,3BHK Grand,Atmosphere/T1/2303,500032,Hyderabad,First Home,,Male,IT/ITES,Business,,
Atmosphere,5.Booking Confirmed,11/8/2025,Channel Partner,3BHK Grand,Atmosphere/T1/2304,680006,Thrissur,First Home,33,Female,Others,Homemaker,<5 lacs,
Atmosphere,5.Booking Confirmed,28/11/2020,Channel Partner,4BHK,Atmosphere/T1/2305,,,,,,,Livguard Batteries Pvt Ltd,,
Atmosphere,5.Booking Confirmed,17/1/2021,Digital Marketing,3BHK Grand,Atmosphere/T1/2306,,,,40,,,,,
Atmosphere,5.Booking Confirmed,15/11/2021,Direct WalkIn / Site Branding,3BHK Grand,Atmosphere/T1/2307,,,,55 Years,,,Manufacturing,,
Atmosphere,5.Booking Confirmed,6/6/2020,Channel Partner,3BHK LUXE,Atmosphere/T1/2401,,,,28,,,SALARIED,,
Atmosphere,5.Booking Confirmed,15/11/2021,Direct WalkIn / Site Branding,3BHK Grand,Atmosphere/T1/2402,,,,,,,Accenture Pvt Ltd,,
Atmosphere,5.Booking Confirmed,28/2/2023,Exhibition/Event,3BHK Grand,Atmosphere/T1/2403,560094,Bangalore,First Home,,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,10/2/2024,Channel Partner,3BHK Grand,Atmosphere/T1/2404,226020,Lucknow,First Home,60,Female,Manufacturing,Salaried,,
Atmosphere,5.Booking Confirmed,28/10/2021,Digital Marketing,4BHK,Atmosphere/T1/2405,,,,54,,,,,
Atmosphere,5.Booking Confirmed,20/1/2021,Digital Marketing,3BHK LUXE,Atmosphere/T1/2406,,,,39,,,,,
Atmosphere,5.Booking Confirmed,21/1/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/2407,,,,63,,,,,
Atmosphere,5.Booking Confirmed,27/8/2025,Channel Partner,3BHK Grand,Atmosphere/T1/2408,597594,Singapore,,50,Male,FMCG,Professional,2Cr-3Cr,
Atmosphere,5.Booking Confirmed,13/2/2021,Print Media,3BHK Grand,Atmosphere/T1/2501,,,,,,,,,
Atmosphere,5.Booking Confirmed,21/10/2021,Purva Privilege,3BHK Grand,Atmosphere/T1/2502,,,,34,,,SALARIED,,
Atmosphere,5.Booking Confirmed,23/7/2022,Digital Marketing,3BHK Grand,Atmosphere/T1/2503,,,,49 Years,,,,,
Atmosphere,5.Booking Confirmed,26/7/2024,Digital Marketing,3BHK Grand,Atmosphere/T1/2504,800002,Patna,First Home,28,Female,IT/ITES,Business,36 - 75 Lakhs,
Atmosphere,5.Booking Confirmed,4/10/2021,Channel Partner,4BHK,Atmosphere/T1/2505,,,,,,,Digital Ocean,,
Atmosphere,5.Booking Confirmed,30/9/2020,Channel Partner,3BHK Grand,Atmosphere/T1/2506,,,,,,,VM Ware,,
Atmosphere,5.Booking Confirmed,3/4/2023,Channel Partner,3BHK Grand,Atmosphere/T1/2507,641002,Coimabtore,First Home,,,Others,Retired,,
Atmosphere,5.Booking Confirmed,14/2/2021,Digital Marketing,3BHK LUXE,Atmosphere/T1/2601,,,,,,,ITC,,
Atmosphere,5.Booking Confirmed,19/3/2022,Purva Privilege,3BHK Grand,Atmosphere/T1/2602,,,,55,,,,,
Atmosphere,5.Booking Confirmed,7/9/2023,Digital Marketing,3BHK Grand,Atmosphere/T1/2603,560013,Bangalore,First Home,46,,Others,Salaried,,
Atmosphere,5.Booking Confirmed,17/7/2024,Channel Partner,3BHK Grand,Atmosphere/T1/2604,560005,Bangalore,First Home,,Male,IT/ITES,Salaried,36-75 Lakhs,
Atmosphere,5.Booking Confirmed,5/11/2021,Digital Marketing,4BHK,Atmosphere/T1/2605,,,,,,,Home Maker,,
Atmosphere,5.Booking Confirmed,15/6/2020,Purva Privilege,3BHK LUXE,Atmosphere/T1/2606,,,,33,,,SALARIED,,
Atmosphere,5.Booking Confirmed,2/12/2024,Channel Partner,3BHK Grand,Atmosphere/T1/2607,560047,Bangalore,First Home,65,Female,Others,Salaried,>75 Lakhs,
Atmosphere,5.Booking Confirmed,31/8/2020,Purva Privilege,3BHK Grand,Atmosphere/T1/2701,,,,52,,,BUSINESS,,
